SNP	CHR	BP	P	POS	GENEID	NEIGHBORGENE	FUNCTION
Chr3_11885262	3	11885262	1.604706e-04	62011222	AT3G30230	NA	myosin heavy chain-related (EC myosin heavy chain-related)
Chr1_17961659	1	17961659	8.518796e-03	17961659	AT1G48580	NA	NA
Chr3_9157784	3	9157784	2.491463e-04	59283744	AT3G25140	NA	Nucleotide-diphospho-sugar transferases superfamily protein (EC Nucleotide-diphospho-sugar transferases superfamily protein)
Chr3_17004786	3	17004786	7.184842e-04	67130746	AT3G46270	NA	receptor protein kinase-related (EC receptor protein kinase-related)
Chr5_16196121	5	16196121	1.175695e-03	108366967	AT5G40450	NA	NA
Chr5_17969403	5	17969403	7.334737e-04	110140249	AT5G44572	NA	NA
Chr4_17188341	4	17188341	1.344470e-03	90774131	AT4G36370	NA	NA
Chr1_11314530	1	11314530	5.297221e-04	11314530	NA	NA	NA
Chr1_10747106	1	10747106	7.510203e-04	10747106	AT1G30410	NA	multidrug resistance-associated protein 13 (EC multidrug resistance-associated protein 13)
Chr1_23468783	1	23468783	8.657683e-04	23468783	AT1G63250	NA	DEA(D/H)-box RNA helicase family protein (EC DEA(D/H)-box RNA helicase family protein)
Chr1_23468835	1	23468835	8.657683e-04	23468835	AT1G63250	NA	DEA(D/H)-box RNA helicase family protein (EC DEA(D/H)-box RNA helicase family protein)
Chr5_3618999	5	3618999	8.232729e-04	95789845	AT5G11330	NA	FAD/NAD(P)-binding oxidoreductase family protein (EC FAD/NAD(P)-binding oxidoreductase family protein)
Chr3_7022610	3	7022610	6.710300e-04	57148570	AT3G20110	NA	cytochrome P450, family 705, subfamily A, polypeptide 20 (EC cytochrome P450, family 705, subfamily A, polypeptide 20)
Chr3_12971342	3	12971342	3.717069e-04	63097302	NA	NA	NA
Chr1_27343115	1	27343115	9.863614e-04	27343115	AT1G72620	NA	alpha/beta-Hydrolases superfamily protein (EC alpha/beta-Hydrolases superfamily protein)
Chr1_6572765	1	6572765	1.789379e-04	6572765	NA	NA	NA
Chr4_13675975	4	13675975	7.582951e-04	87261765	AT4G27310	NA	B-box type zinc finger family protein (EC B-box type zinc finger family protein)
Chr5_16467320	5	16467320	1.125952e-03	108638166	AT5G41130	NA	Esterase/lipase/thioesterase family protein (EC Esterase/lipase/thioesterase family protein)
Chr3_3948751	3	3948751	1.458216e-03	54074711	AT3G12410	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (EC Polynucleotidyl transferase, ribonuclease H-like superfamily protein)
Chr3_1340501	3	1340501	5.505828e-04	51466461	AT3G04850	NA	Tesmin/TSO1-like CXC domain-containing protein (EC Tesmin/TSO1-like CXC domain-containing protein)
Chr5_13102786	5	13102786	6.917273e-04	105273632	NA	NA	NA
Chr2_11171551	2	11171551	1.688322e-03	41599222	NA	NA	NA
Chr1_13939035	1	13939035	4.927023e-04	13939035	NA	NA	NA
Chr4_17562024	4	17562024	5.639903e-04	91147814	AT4G37320	NA	cytochrome P450, family 81, subfamily D, polypeptide 5 (EC cytochrome P450, family 81, subfamily D, polypeptide 5)
Chr2_13760046	2	13760046	1.586513e-03	44187717	AT2G32400	NA	glutamate receptor 5 (EC glutamate receptor 5)
Chr5_8779898	5	8779898	1.744328e-03	100950744	AT5G25290	NA	F-box family protein with a domain of unknown function (DUF295) (EC F-box family protein with a domain of unknown function (DUF295))
Chr5_18101147	5	18101147	9.397765e-04	110271993	AT5G44800	NA	chromatin remodeling 4 (EC chromatin remodeling 4)
Chr2_94510	2	94510	7.450782e-04	30522181	AT2G01130	NA	DEA(D/H)-box RNA helicase family protein (EC DEA(D/H)-box RNA helicase family protein)
Chr1_2577330	1	2577330	5.736668e-04	2577330	AT1G08200	NA	UDP-D-apiose/UDP-D-xylose synthase 2 (EC UDP-D-apiose/UDP-D-xylose synthase 2)
Chr5_8861627	5	8861627	6.590483e-04	101032473	NA	NA	NA
Chr3_21610842	3	21610842	1.271320e-03	71736802	NA	NA	NA
Chr3_3955504	3	3955504	7.707592e-03	54081464	AT3G12460	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (EC Polynucleotidyl transferase, ribonuclease H-like superfamily protein)
Chr2_899407	2	899407	8.688282e-04	31327078	NA	NA	NA
Chr2_904818	2	904818	8.688282e-04	31332489	AT2G03060	NA	AGAMOUS-like 30 (EC AGAMOUS-like 30)
Chr5_12425004	5	12425004	1.992763e-04	104595850	NA	NA	NA
Chr3_14681153	3	14681153	5.576285e-04	64807113	AT3G42560	NA	Pentatricopeptide repeat (PPR) superfamily protein (EC Pentatricopeptide repeat (PPR) superfamily protein)
Chr2_12427057	2	12427057	7.115110e-04	42854728	AT2G28930	NA	protein kinase 1B (EC protein kinase 1B)
Chr5_3601859	5	3601859	1.032065e-03	95772705	NA	NA	NA
Chr5_12725284	5	12725284	5.861487e-04	104896130	NA	NA	NA
Chr5_18362648	5	18362648	5.137869e-04	110533494	AT5G45310	NA	NA
Chr5_3719727	5	3719727	1.987792e-04	95890573	AT5G11570	NA	Major facilitator superfamily protein (EC Major facilitator superfamily protein)
Chr5_12725954	5	12725954	2.050495e-04	104896800	NA	NA	NA
Chr1_21367233	1	21367233	6.891055e-04	21367233	AT1G57680	NA	NA
Chr3_19748283	3	19748283	1.042630e-03	69874243	AT3G53260	NA	phenylalanine ammonia-lyase 2 (EC phenylalanine ammonia-lyase 2)
Chr1_23834349	1	23834349	8.572180e-04	23834349	AT1G64230	NA	ubiquitin-conjugating enzyme 28 (EC ubiquitin-conjugating enzyme 28)
Chr2_18223956	2	18223956	8.097191e-04	48651627	AT2G44040	NA	Dihydrodipicolinate reductase, bacterial/plant (EC Dihydrodipicolinate reductase, bacterial/plant)
Chr1_20455306	1	20455306	6.012624e-04	20455306	AT1G54840	NA	HSP20-like chaperones superfamily protein (EC HSP20-like chaperones superfamily protein)
Chr4_1615099	4	1615099	6.041856e-04	75200889	NA	NA	NA
Chr2_18226188	2	18226188	8.047703e-04	48653859	AT2G44040	NA	Dihydrodipicolinate reductase, bacterial/plant (EC Dihydrodipicolinate reductase, bacterial/plant)
Chr1_10298991	1	10298991	1.710182e-03	10298991	AT1G29400	NA	MEI2-like protein 5 (EC MEI2-like protein 5)
Chr5_18608407	5	18608407	1.528822e-03	110779253	AT5G45870	NA	PYR1-like 12 (EC PYR1-like 12)
Chr3_7069527	3	7069527	7.994060e-04	57195487	AT3G20270	NA	lipid-binding serum glycoprotein family protein (EC lipid-binding serum glycoprotein family protein)
Chr1_2682192	1	2682192	1.012264e-03	2682192	NA	NA	NA
Chr5_16032705	5	16032705	1.594714e-03	108203551	AT5G40050	NA	F-box/FBD-like domains containing protein (EC F-box/FBD-like domains containing protein)
Chr5_16424974	5	16424974	1.438810e-03	108595820	AT5G41010	NA	DNA directed RNA polymerase, 7 kDa subunit (EC DNA directed RNA polymerase, 7 kDa subunit)
Chr5_12003749	5	12003749	4.230187e-04	104174595	NA	NA	NA
Chr2_12538568	2	12538568	1.141579e-03	42966239	AT2G29150	NA	NAD(P)-binding Rossmann-fold superfamily protein (EC NAD(P)-binding Rossmann-fold superfamily protein)
Chr1_10024002	1	10024002	1.196238e-03	10024002	AT1G28510	NA	Optic atrophy 3 protein (OPA3) (EC Optic atrophy 3 protein (OPA3))
Chr1_15916771	1	15916771	6.433256e-04	15916771	NA	NA	NA
Chr5_9048644	5	9048644	9.450039e-04	101219490	AT5G25920	NA	NA
Chr5_3604473	5	3604473	1.091798e-03	95775319	AT5G11300	NA	mitotic-like cyclin 3B from Arabidopsis (EC mitotic-like cyclin 3B from Arabidopsis)
Chr4_17188583	4	17188583	2.013952e-03	90774373	AT4G36370	NA	NA
Chr5_7032484	5	7032484	2.162654e-04	99203330	NA	NA	NA
Chr1_23466098	1	23466098	1.345813e-03	23466098	AT1G63250	NA	DEA(D/H)-box RNA helicase family protein (EC DEA(D/H)-box RNA helicase family protein)
Chr5_3618676	5	3618676	1.059021e-03	95789522	AT5G11330	NA	FAD/NAD(P)-binding oxidoreductase family protein (EC FAD/NAD(P)-binding oxidoreductase family protein)
Chr5_3620399	5	3620399	1.059021e-03	95791245	AT5G11330	NA	FAD/NAD(P)-binding oxidoreductase family protein (EC FAD/NAD(P)-binding oxidoreductase family protein)
Chr5_3620535	5	3620535	1.059021e-03	95791381	AT5G11330	NA	FAD/NAD(P)-binding oxidoreductase family protein (EC FAD/NAD(P)-binding oxidoreductase family protein)
Chr5_3623289	5	3623289	1.059021e-03	95794135	AT5G11350	NA	DNAse I-like superfamily protein (EC DNAse I-like superfamily protein)
Chr5_13687800	5	13687800	8.013743e-04	105858646	AT5G35475	NA	General transcription factor 2-related zinc finger protein (EC General transcription factor 2-related zinc finger protein)
Chr4_10439306	4	10439306	2.071021e-04	84025096	AT4G19040	NA	ENHANCED DISEASE RESISTANCE 2 (EC ENHANCED DISEASE RESISTANCE 2)
Chr1_11027787	1	11027787	2.290623e-04	11027787	NA	NA	NA
Chr5_19001292	5	19001292	6.416463e-04	111172138	NA	NA	NA
Chr1_26131693	1	26131693	1.703016e-03	26131693	AT1G69526	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (EC S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)
Chr1_10633028	1	10633028	9.691544e-04	10633028	AT1G30210	NA	TEOSINTE BRANCHED 1, cycloidea, and PCF family 24 (EC TEOSINTE BRANCHED 1, cycloidea, and PCF family 24)
Chr5_13365621	5	13365621	1.053497e-03	105536467	NA	NA	NA
Chr2_19309819	2	19309819	1.526062e-03	49737490	AT2G46980	NA	NA
Chr4_13025378	4	13025378	9.822314e-04	86611168	AT4G25500	NA	arginine/serine-rich splicing factor 35 (EC arginine/serine-rich splicing factor 35)
Chr2_6501561	2	6501561	1.136394e-03	36929232	AT2G15025	NA	Beta-galactosidase related protein (EC Beta-galactosidase related protein)
Chr2_5729047	2	5729047	7.635529e-04	36156718	NA	NA	NA
Chr1_30408327	1	30408327	6.817349e-04	30408327	NA	NA	NA
Chr3_10862127	3	10862127	1.576586e-03	60988087	NA	NA	NA
Chr1_28327412	1	28327412	8.900843e-04	28327412	AT1G75460	NA	ATP-dependent protease La (LON) domain protein (EC ATP-dependent protease La (LON) domain protein)
Chr4_17189721	4	17189721	2.223221e-03	90775511	NA	NA	NA
Chr4_7769371	4	7769371	2.465340e-04	81355161	AT4G13345	NA	Serinc-domain containing serine and sphingolipid biosynthesis protein (EC Serinc-domain containing serine and sphingolipid biosynthesis protein)
Chr2_5414571	2	5414571	4.173267e-04	35842242	NA	NA	NA
Chr1_23468226	1	23468226	1.151543e-03	23468226	AT1G63250	NA	DEA(D/H)-box RNA helicase family protein (EC DEA(D/H)-box RNA helicase family protein)
Chr1_8017433	1	8017433	1.252620e-03	8017433	AT1G22650	NA	Plant neutral invertase family protein (EC Plant neutral invertase family protein)
Chr2_1138985	2	1138985	4.911119e-03	31566656	NA	NA	NA
Chr5_12020136	5	12020136	3.983455e-04	104190982	NA	NA	NA
Chr3_10657690	3	10657690	1.308223e-03	60783650	NA	NA	NA
Chr3_15762502	3	15762502	4.828521e-04	65888462	AT3G43930	NA	BRCT domain-containing DNA repair protein (EC BRCT domain-containing DNA repair protein)
Chr1_11450271	1	11450271	2.920316e-04	11450271	AT1G31880	NA	DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein (EC DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein)
Chr3_12700881	3	12700881	1.510687e-03	62826841	NA	NA	NA
Chr5_24462008	5	24462008	2.149569e-03	116632854	AT5G60800	NA	Heavy metal transport/detoxification superfamily protein (EC Heavy metal transport/detoxification superfamily protein)
Chr5_14856933	5	14856933	8.686244e-04	107027779	AT5G37450	NA	Leucine-rich repeat protein kinase family protein (EC Leucine-rich repeat protein kinase family protein)
Chr5_14856966	5	14856966	8.686244e-04	107027812	AT5G37450	NA	Leucine-rich repeat protein kinase family protein (EC Leucine-rich repeat protein kinase family protein)
Chr4_17189520	4	17189520	2.242903e-03	90775310	NA	NA	NA
Chr3_20746189	3	20746189	1.060137e-03	70872149	AT3G55920	NA	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein (EC Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein)
Chr5_12425205	5	12425205	7.186073e-04	104596051	NA	NA	NA
Chr3_18606332	3	18606332	1.614313e-03	68732292	AT3G50170	NA	Plant protein of unknown function (DUF247) (EC Plant protein of unknown function (DUF247))
Chr5_12984132	5	12984132	7.194857e-04	105154978	NA	NA	NA
Chr1_10517662	1	10517662	1.559908e-03	10517662	AT1G30020	NA	Protein of unknown function, DUF538 (EC Protein of unknown function, DUF538)
Chr3_8036853	3	8036853	7.234606e-04	58162813	AT3G22740	NA	homocysteine S-methyltransferase 3 (EC homocysteine S-methyltransferase 3)
Chr1_21574903	1	21574903	7.239176e-04	21574903	AT1G58230	NA	binding (EC binding)
Chr3_13001691	3	13001691	7.248166e-04	63127651	NA	NA	NA
Chr1_12988903	1	12988903	7.262557e-04	12988903	AT1G35350	NA	EXS (ERD1/XPR1/SYG1) family protein (EC EXS (ERD1/XPR1/SYG1) family protein)
Chr5_19595003	5	19595003	1.173128e-03	111765849	AT5G48350	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (EC Polynucleotidyl transferase, ribonuclease H-like superfamily protein)
Chr1_2835441	1	2835441	8.426431e-04	2835441	NA	NA	NA
Chr3_8734445	3	8734445	1.252510e-03	58860405	AT3G24170	NA	glutathione-disulfide reductase (EC glutathione-disulfide reductase)
Chr2_11131647	2	11131647	1.358609e-03	41559318	AT2G26135	NA	RING/U-box protein with C6HC-type zinc finger (EC RING/U-box protein with C6HC-type zinc finger)
Chr3_4899275	3	4899275	1.358609e-03	55025235	AT3G14570	NA	glucan synthase-like 4 (EC glucan synthase-like 4)
Chr3_4921685	3	4921685	1.358609e-03	55047645	AT3G14640	NA	cytochrome P450, family 72, subfamily A, polypeptide 10 (EC cytochrome P450, family 72, subfamily A, polypeptide 10)
Chr5_26848326	5	26848326	2.015515e-03	119019172	AT5G67280	NA	receptor-like kinase (EC receptor-like kinase)
Chr5_11978185	5	11978185	4.264477e-04	104149031	NA	NA	NA
Chr1_6559647	1	6559647	9.105754e-04	6559647	AT1G18980	NA	RmlC-like cupins superfamily protein (EC RmlC-like cupins superfamily protein)
Chr1_28154412	1	28154412	1.169903e-03	28154412	NA	NA	NA
Chr4_18574566	4	18574566	7.619526e-04	92160356	AT4G40060	NA	homeobox protein 16 (EC homeobox protein 16)
Chr1_4515091	1	4515091	1.432225e-03	4515091	AT1G13210	NA	autoinhibited Ca2+/ATPase II (EC autoinhibited Ca2+/ATPase II)
Chr2_17343668	2	17343668	7.421014e-04	47771339	AT2G41590	NA	NA
Chr3_11573724	3	11573724	4.853539e-04	61699684	NA	NA	NA
Chr2_17685667	2	17685667	7.468086e-04	48113338	AT2G42470	NA	TRAF-like family protein (EC TRAF-like family protein)
Chr4_205170	4	205170	1.510048e-03	73790960	AT4G00450	NA	RNA polymerase II transcription mediators (EC RNA polymerase II transcription mediators)
Chr1_8541526	1	8541526	1.540101e-03	8541526	AT1G24145	NA	NA
Chr5_16288783	5	16288783	1.201750e-03	108459629	AT5G40680	NA	Galactose oxidase/kelch repeat superfamily protein (EC Galactose oxidase/kelch repeat superfamily protein)
Chr3_12664565	3	12664565	2.717932e-04	62790525	NA	NA	NA
Chr5_8229415	5	8229415	1.040753e-03	100400261	AT5G24230	NA	Lipase class 3-related protein (EC Lipase class 3-related protein)
Chr4_13532903	4	13532903	4.227728e-04	87118693	AT4G26940	NA	Galactosyltransferase family protein (EC Galactosyltransferase family protein)
Chr1_24358394	1	24358394	1.793944e-03	24358394	AT1G65500	NA	NA
Chr1_25636896	1	25636896	1.364924e-03	25636896	AT1G68370	NA	Chaperone DnaJ-domain superfamily protein (EC Chaperone DnaJ-domain superfamily protein)
Chr1_17366050	1	17366050	6.528799e-04	17366050	NA	NA	NA
Chr1_24955962	1	24955962	3.570369e-04	24955962	AT1G66880	NA	Protein kinase superfamily protein (EC Protein kinase superfamily protein)
Chr2_16194351	2	16194351	1.234463e-03	46622022	AT2G38730	NA	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein (EC Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein)
Chr5_20765286	5	20765286	1.923930e-03	112936132	AT5G51060	NA	NADPH/respiratory burst oxidase protein D (EC NADPH/respiratory burst oxidase protein D)
Chr4_4735395	4	4735395	7.756360e-04	78321185	NA	NA	NA
Chr5_23912711	5	23912711	3.344056e-04	116083557	AT5G59260	NA	Concanavalin A-like lectin protein kinase family protein (EC Concanavalin A-like lectin protein kinase family protein)
Chr1_12037550	1	12037550	7.767587e-04	12037550	NA	NA	NA
Chr5_6572595	5	6572595	7.769832e-04	98743441	AT5G19480	NA	NA
Chr3_8511121	3	8511121	9.202262e-03	58637081	AT3G23650	NA	protein kinase-related (EC protein kinase-related)
Chr1_10981274	1	10981274	7.795857e-04	10981274	AT1G30845	NA	NA
Chr1_15583581	1	15583581	6.001737e-04	15583581	NA	NA	NA
Chr2_940709	2	940709	1.169288e-03	31368380	AT2G03120	NA	signal peptide peptidase (EC signal peptide peptidase)
Chr3_15967232	3	15967232	1.298920e-03	66093192	NA	NA	NA
Chr5_8071646	5	8071646	1.194172e-03	100242492	AT5G23910	NA	ATP binding microtubule motor family protein (EC ATP binding microtubule motor family protein)
Chr3_10224058	3	10224058	5.979261e-04	60350018	AT3G27600	NA	SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein (EC SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein)
Chr4_835345	4	835345	2.991746e-04	74421135	AT4G01925	NA	Cysteine/Histidine-rich C1 domain family protein (EC Cysteine/Histidine-rich C1 domain family protein)
Chr4_4745555	4	4745555	3.226849e-04	78331345	NA	NA	NA
Chr3_8488250	3	8488250	2.187532e-03	58614210	AT3G23630	NA	isopentenyltransferase 7 (EC isopentenyltransferase 7)
Chr5_23087459	5	23087459	2.563427e-03	115258305	AT5G57050	NA	Protein phosphatase 2C family protein (EC Protein phosphatase 2C family protein)
Chr3_14829322	3	14829322	1.035196e-03	64955282	NA	NA	NA
Chr5_7034886	5	7034886	8.018827e-04	99205732	NA	NA	NA
Chr5_17235814	5	17235814	1.098769e-03	109406660	AT5G42960	NA	NA
Chr4_16108205	4	16108205	2.140890e-03	89693995	AT4G33470	NA	histone deacetylase 14 (EC histone deacetylase 14)
Chr4_16121370	4	16121370	2.140890e-03	89707160	AT4G33520	NA	P-type ATP-ase 1 (EC P-type ATP-ase 1)
Chr4_377656	4	377656	3.346584e-04	73963446	AT4G00890	NA	proline-rich family protein (EC proline-rich family protein)
Chr5_13699292	5	13699292	7.571986e-04	105870138	AT5G35510	NA	NA
Chr3_5594218	3	5594218	8.099372e-04	55720178	AT3G16460	NA	Mannose-binding lectin superfamily protein (EC Mannose-binding lectin superfamily protein)
Chr4_1015950	4	1015950	3.347525e-04	74601740	AT4G02300	NA	Plant invertase/pectin methylesterase inhibitor superfamily (EC Plant invertase/pectin methylesterase inhibitor superfamily)
Chr5_16805293	5	16805293	1.696231e-03	108976139	AT5G42010	NA	Transducin/WD40 repeat-like superfamily protein (EC Transducin/WD40 repeat-like superfamily protein)
Chr3_12718029	3	12718029	2.685909e-04	62843989	NA	NA	NA
Chr5_3593492	5	3593492	1.450074e-03	95764338	AT5G11250	NA	Disease resistance protein (TIR-NBS-LRR class) (EC Disease resistance protein (TIR-NBS-LRR class))
Chr5_21473106	5	21473106	1.510214e-03	113643952	AT5G52940	NA	Protein of unknown function (DUF295) (EC Protein of unknown function (DUF295))
Chr3_12009320	3	12009320	8.204742e-04	62135280	NA	NA	NA
Chr3_14682063	3	14682063	2.537544e-04	64808023	NA	NA	NA
Chr5_13686835	5	13686835	1.004648e-03	105857681	AT5G35475	NA	General transcription factor 2-related zinc finger protein (EC General transcription factor 2-related zinc finger protein)
Chr5_10258534	5	10258534	1.578688e-03	102429380	NA	NA	NA
Chr3_8507243	3	8507243	2.592134e-03	58633203	AT3G23640	NA	heteroglycan glucosidase 1 (EC heteroglycan glucosidase 1)
Chr3_8508441	3	8508441	2.592134e-03	58634401	AT3G23640	NA	heteroglycan glucosidase 1 (EC heteroglycan glucosidase 1)
Chr3_8508647	3	8508647	2.592134e-03	58634607	AT3G23640	NA	heteroglycan glucosidase 1 (EC heteroglycan glucosidase 1)
Chr3_8509467	3	8509467	2.592134e-03	58635427	AT3G23640	NA	heteroglycan glucosidase 1 (EC heteroglycan glucosidase 1)
Chr5_5253392	5	5253392	1.470249e-03	97424238	AT5G16070	NA	TCP-1/cpn60 chaperonin family protein (EC TCP-1/cpn60 chaperonin family protein)
Chr5_15069261	5	15069261	1.818483e-03	107240107	AT5G37850	NA	pfkB-like carbohydrate kinase family protein (EC pfkB-like carbohydrate kinase family protein)
Chr5_3186599	5	3186599	1.889230e-03	95357445	AT5G10160	NA	Thioesterase superfamily protein (EC Thioesterase superfamily protein)
Chr2_16194420	2	16194420	1.375053e-03	46622091	AT2G38730	NA	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein (EC Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein)
Chr2_16194467	2	16194467	1.375053e-03	46622138	AT2G38730	NA	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein (EC Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein)
Chr5_24947014	5	24947014	1.721160e-03	117117860	AT5G62110	NA	Homeodomain-like superfamily protein (EC Homeodomain-like superfamily protein)
Chr5_17237195	5	17237195	1.181486e-03	109408041	AT5G42960	NA	NA
Chr3_8769160	3	8769160	2.072672e-03	58895120	AT3G24225	NA	CLAVATA3/ESR-RELATED 19 (EC CLAVATA3/ESR-RELATED 19)
Chr2_12563105	2	12563105	1.236501e-03	42990776	AT2G29210	NA	splicing factor PWI domain-containing protein (EC splicing factor PWI domain-containing protein)
Chr2_12563519	2	12563519	1.236501e-03	42991190	NA	NA	NA
Chr3_11263459	3	11263459	8.677799e-04	61389419	AT3G29340	NA	zinc finger (C2H2 type) family protein (EC zinc finger (C2H2 type) family protein)
Chr5_21144966	5	21144966	1.761711e-03	113315812	NA	NA	NA
Chr2_18221222	2	18221222	1.378897e-03	48648893	AT2G44030	NA	Galactose oxidase/kelch repeat superfamily protein (EC Galactose oxidase/kelch repeat superfamily protein)
Chr1_28944582	1	28944582	9.889554e-04	28944582	AT1G77010	NA	Pentatricopeptide repeat (PPR) superfamily protein (EC Pentatricopeptide repeat (PPR) superfamily protein)
Chr5_3599670	5	3599670	1.234115e-03	95770516	AT5G11290	NA	Plant protein of unknown function (DUF247) (EC Plant protein of unknown function (DUF247))
Chr1_17960928	1	17960928	1.696815e-03	17960928	AT1G48580	NA	NA
Chr4_11418811	4	11418811	1.089465e-03	85004601	AT4G21440	NA	MYB-like 102 (EC MYB-like 102)
Chr2_1932326	2	1932326	9.587072e-04	32359997	NA	NA	NA
Chr5_25363940	5	25363940	2.192208e-03	117534786	AT5G63260	NA	Zinc finger C-x8-C-x5-C-x3-H type family protein (EC Zinc finger C-x8-C-x5-C-x3-H type family protein)
Chr5_7422215	5	7422215	1.109768e-03	99593061	NA	NA	NA
Chr4_5082917	4	5082917	4.613065e-04	78668707	NA	NA	NA
Chr5_13573573	5	13573573	1.149099e-03	105744419	NA	NA	NA
Chr5_22699769	5	22699769	4.982953e-04	114870615	NA	NA	NA
Chr3_19543430	3	19543430	1.012656e-03	69669390	AT3G52700	NA	NA
Chr4_11389686	4	11389686	2.536290e-04	84975476	NA	NA	NA
Chr1_15583665	1	15583665	8.950182e-04	15583665	NA	NA	NA
Chr3_7158798	3	7158798	1.037285e-03	57284758	AT3G20490	NA	NA
Chr5_4873403	5	4873403	1.356753e-03	97044249	AT5G15020	NA	SIN3-like 2 (EC SIN3-like 2)
Chr2_18228004	2	18228004	1.290455e-03	48655675	AT2G44060	NA	Late embryogenesis abundant protein, group 2 (EC Late embryogenesis abundant protein, group 2)
Chr2_18228810	2	18228810	1.290455e-03	48656481	AT2G44065	NA	Ribosomal protein L2 family (EC Ribosomal protein L2 family)
Chr1_20099909	1	20099909	1.420274e-03	20099909	AT1G53830	NA	pectin methylesterase 2 (EC pectin methylesterase 2)
Chr5_22639908	5	22639908	1.273333e-03	114810754	AT5G55900	NA	Sucrase/ferredoxin-like family protein (EC Sucrase/ferredoxin-like family protein)
Chr5_10408956	5	10408956	9.152989e-04	102579802	NA	NA	NA
Chr5_6065835	5	6065835	9.159887e-04	98236681	AT5G18320	NA	ARM repeat superfamily protein (EC ARM repeat superfamily protein)
Chr5_13063845	5	13063845	9.176812e-04	105234691	NA	NA	NA
Chr4_519513	4	519513	2.184304e-03	74105303	AT4G01230	NA	Reticulon family protein (EC Reticulon family protein)
Chr5_7380507	5	7380507	2.258868e-03	99551353	AT5G22300	NA	nitrilase 4 (EC nitrilase 4)
Chr5_21345183	5	21345183	1.632979e-03	113516029	AT5G52600	NA	myb domain protein 82 (EC myb domain protein 82)
Chr4_210657	4	210657	1.054320e-03	73796447	AT4G00450	NA	RNA polymerase II transcription mediators (EC RNA polymerase II transcription mediators)
Chr1_956147	1	956147	9.282060e-04	956147	AT1G03780	NA	targeting protein for XKLP2 (EC targeting protein for XKLP2)
Chr5_17447558	5	17447558	1.476593e-03	109618404	NA	NA	NA
Chr3_17115324	3	17115324	1.577607e-03	67241284	AT3G46490	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (EC 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein)
Chr1_29162891	1	29162891	2.651166e-03	29162891	AT1G77600	NA	ARM repeat superfamily protein (EC ARM repeat superfamily protein)
Chr5_3642952	5	3642952	1.242501e-03	95813798	AT5G11416	NA	NA
Chr3_11002413	3	11002413	9.415000e-04	61128373	AT3G28990	NA	Plant protein 1589 of unknown function (EC Plant protein 1589 of unknown function)
Chr4_1499252	4	1499252	1.783160e-03	75085042	AT4G03390	NA	STRUBBELIG-receptor family 3 (EC STRUBBELIG-receptor family 3)
Chr3_15067163	3	15067163	1.611224e-02	65193123	NA	NA	NA
Chr4_17817791	4	17817791	8.129535e-04	91403581	AT4G37890	NA	Zinc finger (C3HC4-type RING finger) family protein (EC Zinc finger (C3HC4-type RING finger) family protein)
Chr1_2526560	1	2526560	1.197814e-03	2526560	AT1G08090	NA	nitrate transporter 2:1 (EC nitrate transporter 2:1)
Chr2_8497659	2	8497659	1.730176e-03	38925330	AT2G19650	NA	Cysteine/Histidine-rich C1 domain family protein (EC Cysteine/Histidine-rich C1 domain family protein)
Chr1_16579393	1	16579393	1.647081e-03	16579393	AT1G43800	NA	Plant stearoyl-acyl-carrier-protein desaturase family protein (EC Plant stearoyl-acyl-carrier-protein desaturase family protein)
Chr5_8020702	5	8020702	1.332283e-03	100191548	AT5G23780	NA	DOMAIN OF UNKNOWN FUNCTION 724 9 (EC DOMAIN OF UNKNOWN FUNCTION 724 9)
Chr5_9901863	5	9901863	1.404822e-03	102072709	NA	NA	NA
Chr5_7741902	5	7741902	1.551682e-03	99912748	AT5G23070	NA	Thymidine kinase (EC Thymidine kinase)
Chr2_7343494	2	7343494	1.481418e-03	37771165	AT2G16920	NA	ubiquitin-conjugating enzyme 23 (EC ubiquitin-conjugating enzyme 23)
Chr2_18023460	2	18023460	1.244885e-03	48451131	AT2G43400	NA	electron-transfer flavoprotein:ubiquinone oxidoreductase (EC electron-transfer flavoprotein:ubiquinone oxidoreductase)
Chr3_7360977	3	7360977	1.258508e-03	57486937	AT3G20993	NA	low-molecular-weight cysteine-rich 56 (EC low-molecular-weight cysteine-rich 56)
Chr3_10103977	3	10103977	9.607016e-04	60229937	NA	NA	NA
